Enemy: (0, 1): louay
Wall: (1, 4)
Wall: (1, 5)
Wall: (1, 6)
Wall: (1, 7)
Wall: (1, 8)
Wall: (1, 9)
Wall: (1, 10)
Wall: (1, 11)
Wall: (1, 12)
Wall: (1, 13)
Wall: (1, 14)
Wall: (1, 15)
Wall: (1, 16)
Wall: (1, 17)
Wall: (1, 18)
Wall: (1, 19)
Wall: (2, 4)
Wall: (2, 19)
Enemy: (3, 3): samer
Wall: (3, 4)
Wall: (3, 7)
Wall: (3, 8)
Wall: (3, 9)
Wall: (3, 10)
Wall: (3, 11)
Wall: (3, 12)
Wall: (3, 13)
Wall: (3, 14)
Wall: (3, 15)
Wall: (3, 16)
Wall: (3, 19)
Wall: (4, 4)
Wall: (4, 7)
Wall: (4, 16)
Wall: (4, 19)
Wall: (5, 4)
Enemy: (5, 5): Abood
Wall: (5, 7)
Wall: (5, 10)
Wall: (5, 11)
Wall: (5, 12)
Wall: (5, 13)
Wall: (5, 16)
Wall: (5, 19)
Friend: (6, 1)
Wall: (6, 4)
Wall: (6, 7)
Wall: (6, 10)
Wall: (6, 13)
Wall: (6, 16)
Wall: (6, 19)
Wall: (7, 4)
Wall: (7, 7)
Wall: (7, 10)
Wall: (7, 13)
Wall: (7, 16)
Wall: (7, 19)
Door: (8, 0)
Friend: (8, 3)
Wall: (8, 4)
Wall: (8, 7)
Wall: (8, 10)
Wall: (8, 13)
Wall: (8, 16)
Wall: (8, 19)
Wall: (9, 4)
Wall: (9, 7)
Wall: (9, 10)
Wall: (9, 13)
Wall: (9, 16)
Wall: (9, 19)
Wall: (10, 4)
Wall: (10, 7)
Wall: (10, 10)
Wall: (10, 13)
Wall: (10, 16)
Wall: (10, 19)
Wall: (11, 4)
Wall: (11, 7)
Wall: (11, 10)
Wall: (11, 13)
Wall: (11, 16)
Wall: (11, 19)
Wall: (12, 4)
Wall: (12, 7)
Wall: (12, 10)
Wall: (12, 13)
Wall: (12, 16)
Wall: (12, 19)
Wall: (13, 4)
Wall: (13, 7)
Wall: (13, 10)
Wall: (13, 13)
Wall: (13, 16)
Wall: (13, 19)
Wall: (14, 4)
Wall: (14, 7)
Wall: (14, 10)
Wall: (14, 13)
Wall: (14, 16)
Wall: (14, 19)
Wall: (15, 4)
Wall: (15, 7)
Wall: (15, 10)
Wall: (15, 13)
Wall: (15, 16)
Wall: (15, 19)
Wall: (16, 4)
Wall: (16, 7)
Wall: (16, 10)
Wall: (16, 13)
Wall: (16, 16)
Wall: (16, 19)
Wall: (17, 4)
Wall: (17, 10)
Wall: (17, 16)
Wall: (17, 19)
Wall: (18, 4)
Wall: (18, 5)
Wall: (18, 6)
Wall: (18, 7)
Wall: (18, 8)
Wall: (18, 9)
Wall: (18, 10)
Wall: (18, 11)
Wall: (18, 12)
Wall: (18, 13)
Wall: (18, 14)
Wall: (18, 15)
Wall: (18, 16)
Wall: (18, 17)
Wall: (18, 19)
